North America,$,"3,710",Unnamed: 1,$.1,"7,377",$.2,"3,667"
South America,(490),,(121),,369,,
Europe,(851),,(154),,697,,
China (including Taiwan),(499),,(327),,172,,
International Markets Group,(164),,622,,786,,
Automotive Segment,$,"1,706",,$,"7,397",$,"5,691"
