Net income/(loss) attributable to Ford$—,$(1.3),$17.9
Add:  Noncontrolling interest—,—,—
Less: Income tax0.7,(0.2),0.1
Add:  Cash tax(0.6),(0.4),(0.6)
Less:  Interest on debt(1.0),(1.6),(1.8)
Less:  Total pension / OPEB income / (cost)(2.6),(1.0),4.9
Add:  Pension / OPEB service costs(1.0),(1.1),(1.1)
Net operating profit/(loss) after cash tax$1.4,$0.1,$13.0
Less:  Special items (excl. pension / OPEB) pre-tax(3.3),(0.4),5.9
Adjusted net operating profit/(loss) after cash tax$4.7,$0.5,$7.1
