Term unsecured debt,$,73.3,Unnamed: 2,$.1,59.4,Unnamed: 3,$.2,48.3
Term asset-backed securities,54.6,,45.4,,,56.4,,
Ford Interest Advantage / Retail Deposits,9.8,,12.9,,,14.3,,
Other,(3.1),,(0.2,,,2.6,,
Equity,15.6,,12.4,,,11.9,,
Adjustments for cash,(18.5),,(12.4,,,(11.2,,
Total Net Receivables,$,131.7,,$,117.5,,$,122.3
