Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10
,2022,,2021.0,,,2020,,
Automotive segment,,,,,,,,
Revenues,$,"77,553",,$,"51,034",,$,"29,542"
Gross profit,$,"20,565",,$,"13,735",,$,"6,612"
Energy generation and storage segment,,,,,,,,
Revenues,$,"3,909",,$,"2,789",,$,"1,994"
Gross profit,$,288,,$,(129,),$,18
