Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
,2022,,2021.0,,
Raw materials,$,"6,137",,$,"2,816"
Work in process,,"2,385",,,"1,089"
Finished goods (1),,"3,475",,,"1,277"
Service parts,,842,,,575
Total,$,"12,839",,$,"5,757"
