Market Share (%),7.2,%,6.4,Unnamed: 2,Unnamed: 3,(0.8) ppts,Unnamed: 6
Wholesale Units (000) (a),"1,020",,891,,,(128),
Revenue ($M),$,"22,644",,$,"24,466",,"1,822"
EBIT ($M),(851,,(154),,,697,
EBIT Margin (%),(3.8,%,(0.6),,,3.2 ppts,
