Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 10
,2022.0,,2021.0,,2020.0,
"Weighted average shares used in computing net income per share ofcommon stock, basic",,"3,130",,"2,95",,"2,798"
Add:,,,,,,
Stock-based awards,,310,,29,,198
Convertible senior notes,,3,,2,,141
Warrants,,32,,10,,112
"Weighted average shares used in computing net income per share ofcommon stock, diluted",,"3,475",,"3,38",,"3,249"
