Money market funds,$,109,Unnamed: 0,$.1,109.1,$.2,—,Unnamed: 2,$.3,—.1,$.4,"2,188",Unnamed: 4,$.5,"2,188.1",$.6,—.2,$.7,—.3
U.S. government securities,"5,136",,—,,"5,136",—,,894,,—,894,,—,,,,,,
Corporate debt securities,480,,—,,480,—,,885,,—,885,,—,,,,,,
"Certificates of deposit and timedeposits","6,996",,—,,"6,996",—,,"4,253",,—,"4,253",,—,,,,,,
Commercial paper,470,,—,,470,—,,—,,—,—,,—,,,,,,
Total,$,"13,191",,$,109,$,"13,082",,$,—,$,"8,220",,$,"2,188",$,"6,032",$,—
