Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10
,2022,,2021.0,,,2020.0,,
Risk-free interest rate,,3.11,,,0.66,,,0.26
Expected term (in years),,4.1,,,4.3,,,3.9
Expected volatility,,63.0,,,59.0,,,69.0
Dividend yield,,0.0,,,0.0,,,0.0
Grant date fair value per share (1),$,114.51,,$,128.02,,$,72.05
