Adjusted EBIT (a)$11.5 - $12.5 billion
Adjusted Free Cash Flow (a)$5.5 - $6.5 billion
Capital spending$7.0 - $8.0 billion
Pension contributions$0.6 - $0.8 billion
Global Redesign EBIT charges$1.8 - $2.4 billion
Global Redesign cash effects$2.0 - $2.5 billion
