Market Share (%),1.8,Unnamed: 1,1.4,Unnamed: 3,Unnamed: 4,(0.4) ppts,Unnamed: 7
Wholesale Units (000) (a),315,,304.0,,,(11),
Revenue ($M),$,"8,955",,$,"9,810",,855.0
EBIT ($M),622,,628.0,,,6,
EBIT Margin (%),6.9,,6.4,,,(0.5) ppts,
