Market Share (%),6.2,%,2.6,%.1,Unnamed: 2,(3.7) ppts,Unnamed: 5
Wholesale Units (000),185,,81,,,(104),
Revenue ($M),$,"2,463",,$,"2,399",,(64)
EBIT ($M),(490,,(121,,,369,
EBIT Margin (%),(19.9,%,(5.1,%,,14.8 ppts,
