Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 3,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 24,Unnamed: 25
(Dollars in millions),2022,,,2021.0,,,2020,,$,,%,,$,,%,,,,
Interest expense,$,(191,),,$,(371,),$,(74,),$,180.0,,(4,),$,377.0,(50,)
