Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
,2022,,2021.0,,
Operating lease liabilities,$,"2,164",,$,"1,671"
Accrued warranty reserve,,"2,480",,,"1,398"
Sales return reserve,,51,,,133
Deferred tax liability,,82,,,24
Other non-current liabilities,,553,,,320
Total other long-term liabilities,$,"5,330",,$,"3,546"
