Raw materials,$,"5,390",Unnamed: 0,$.1,"6,137"
Work in process,"2,016",,"2,385",,
Finished goods (1),"5,049",,"3,475",,
Service parts,"1,171",,842,,
Total,$,"13,626",,$,"12,839"
