Market Share (%),2.4,Unnamed: 1,2.1,Unnamed: 3,Unnamed: 4,(0.3) ppts,Unnamed: 7
Wholesale Units (000) (a),649,,495,,,(154),
Revenue ($M),$,"2,547",,$,"1,769",,(778)
EBIT ($M),(327),,(572),,,(245),
EBIT Margin (%),(12.8),,(32.3),,,(19.5) ppts,
