Unnamed: 0,"Year Ended December 31,",Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 9,Unnamed: 10
,2022,,2021.0,,,2020.0,,
Automotive sales (1),$,"67,210",,$,"44,125",,$,"24,604"
Automotive regulatory credits,,"1,776",,,"1,465",,,"1,580"
Energy generation and storage sales,,"3,376",,,"2,279",,,"1,477"
Services and other,,"6,091",,,"3,802",,,"2,306"
Total revenues from sales and services,,"78,453",,,"51,671",,,"29,967"
Automotive leasing,,"2,476",,,"1,642",,,"1,052"
Energy generation and storage leasing,,533,,,510,,,517
Total revenues,$,"81,462",,$,"53,823",,$,"31,536"
