Europe,$,(530),Unnamed: 1,$.1,(151)
India,(468),,(298),,
South America,(803),,53,,
China (including Taiwan),150,,(380),,
North America,(72),,(198),,
Other,3,,7,,
Subtotal Global Redesign,$,"(1,720)",,$,(967)
