Total Net Receivables ($B),$,132,Unnamed: 2,$.1,118,Unnamed: 3,Unnamed: 4,(11,%
Loss-to-Receivables (bps) (a),36,,6,,,(30,,,
Auction Values (b),$,"22,380",,$,"28,120",,,26.0,%
EBT ($M),"2,608",,"4,717",,,$,"2,109",,
ROE (%) (c),15,%,32,,,17 ppts,,,
