Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
,2022,,2021.0,,
Automotive,$,"10,996",,$,"4,978"
Energy generation and storage,,"1,843",,,779
Total,$,"12,839",,$,"5,757"
