Market Share (%),13.2,Unnamed: 1,12.0,Unnamed: 3,Unnamed: 4,(1.2) ppts,Unnamed: 7
Wholesale Units (000),"2,081",,"2,006",,,(75),
Revenue ($M),$,"80,044",,$,"87,783",,"7,739"
EBIT ($M),"3,710",,"7,377",,,"3,667",
EBIT Margin (%),4.6,,8.4,,,3.8 ppts,
