Unnamed: 0,"Year Ended December 31,",Unnamed: 2,2022 vs. 2021 Change,Unnamed: 4,Unnamed: 5,2021 vs. 2020 Change,Unnamed: 7,Unnamed: 8,Unnamed: 11,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 17,Unnamed: 19,Unnamed: 20,Unnamed: 24
(Dollars in millions),2022,,2021.0,,,2020.0,,$,%,,$,,%,,,
Provision for income taxes,$,"1,132",,$,699.0,,$,292,$,43.0,,6.0,,$,40.0,139.0
Effective tax rate,,8,,,11.0,,,25,,,,,,,,
