2024,$,37,Unnamed: 0,$.1,"1,941",$.2,"1,978"
2025,4,,"1,663",,"1,667",,
2026,—,,494,,494,,
2027,—,,276,,276,,
2028,—,,44,,44,,
Thereafter,3,,221,,224,,
Total,$,44.0,,$,"4,639",$,"4,683"
