Operating lease liabilities,$,"3,671",Unnamed: 0,$.1,"2,164"
Accrued warranty reserve,"3,606",,"2,480",,
Other non-current liabilities,876,,686,,
Total other long-term liabilities,$,"8,153",,$,"5,330"
