2024,$,892,Unnamed: 0,$.1,418
2025,831,,81.0,,
2026,706,,57.0,,
2027,603,,38.0,,
2028,508,,2.0,,
Thereafter,"1,820",,4.0,,
Total minimum lease payments,"5,360",,600.0,,
Less: Interest,"1,017",,27.0,,
Present value of lease obligations,"4,343",,573.0,,
Less: Current portion,672,,398.0,,
Long-term portion of lease obligations,$,"3,671",,$,175.0
