Cost of revenues,$,741,Unnamed: 0,$.1,594,$.2,421
Research and development,689,,536.0,,448,,
"Selling, general and administrative",382,,430.0,,"1,252",,
Total,$,"1,812",,$,"1,560",$,"2,121"
