Risk-free interest rate,3.90,Unnamed: 0,Unnamed: 1,3.11,Unnamed: 2,Unnamed: 3,0.66,%,Unnamed: 4,Unnamed: 5
Expected term (in years),4.5,,4.1,,4.3,,,,,
Expected volatility,63.0,,,63.0,,,59.0,%,,
Dividend yield,0.0,,,0.0,,,0.0,%,,
Grant date fair value per share,,121.62,,,$,114.51,,,$,128.02
