Unnamed: 0,"December 31,",Unnamed: 2,"December 31,.1",Unnamed: 4,Unnamed: 5
,2022,,2021.0,,
United States,$,"21,667",,$,"19,026"
Germany,,"3,547",,,"2,606"
China,,"2,978",,,"2,415"
Other international,,845,,,602
Total,$,"29,037",,$,"24,649"
